Sex,Specimen
Male,USNM145310
Female,USNM145311
Male,USNM145312
Male,USNM145313
Male,USNM145314
Female,USNM145315
Male,USNM145318
Male,USNM145319
Female,USNM145320
Female,USNM145321
Female,USNM145322
Female,USNM153805
Male,USNM153806
Male,USNM153807
Female,USNM153808
Male,USNM153810
Male : Juvenile,USNM153811
Female,USNM153812
Female,USNM153813
Female,USNM153814
Male,USNM153815
Male,USNM153816
Unknown,USNM153817
Female,USNM153818
Female,USNM153819
Female,USNM153820
Female : Young adult,USNM153821
Female : Adult,USNM153822
Male : Old adult,USNM153823
Female,USNM153824
Male,USNM153827
Female,USNM153828
Female,USNM153829
Female,USNM153830
Female,USNM153831
Female,USNM153832
Unknown,USNM153833
Male,USNM153834
Female,USNM197664
Male,USNM197665
Female,USNM292562
Male,USNM296650
Female,USNM302052
Male,USNM317197
Unknown,USNM502718
Female,USNM518799
Female,USNM520885
Male,USNM521078
Unknown,USNMA 49443
Unknown,USNMA 49444
Unknown : Juvenile,USNMA 49898
Male,USNMA 49972
Male,USNM448848
Male,USNM546840
Female,USNM395161
Unknown : Adolescent,USNM583473
Male,USNM582769
Female,USNM588109
Male : Infant,USNM254456
Male,USNMA 22936
Male : Adult,USNM282603
Female,USNM592126
